;;4 X 100m / SEF;Finale 1;2;50''60;888;F/;09-mai
;;4 X 400m / SEF;Finale 1;1;4'02''66;879;F/;09-mai
DIAROUMA Tiguida;;200m / SEF;Finale 2;2;25''86 (+1.0);934;IR2;CAF/94;09-mai
DIAROUMA Tiguida;;Triple Saut / SEF;Finale 1;9;11m07 (+1.9);777;IR2;CAF/94;09-mai
PAGET-BLANC Alexandra;;200m / SEF;Finale 3;4;27''51 (+0.0);824;R1;CAF/93;09-mai
CLERENCE Elisa;;100m / SEF;Finale 3;1;12''61 (+0.0);928;IR2;ESF/88;09-mai
CLERENCE Elisa;;Perche / SEF;Finale 1;17;1m60;160;D7;ESF/88;09-mai
NZAMOWANI Jodelle;;400m Haies (76) / SEF;Finale 2;2;64''02;945;N4;ESF/89;09-mai
TAFLER Clementine;;1 500m / SEF;Finale 1;10;5'37''35;552;R6;ESF/90;09-mai
CRANE Sabrina;;400m / SEF;Finale 3;3;64''18;764;R2;JUF/92;09-mai
CRANE Sabrina;;Triple Saut / SEF;Finale 1;11;10m69 (+0.0);735;IR4;JUF/92;09-mai
FERNANDES Laurine;;3 000m / SEF;Finale 1;9;11'43''55;632;R4;JUF/92;09-mai
MESINELE Anais;;Hauteur / SEF;Finale 1;11;1m45;618;R3;JUF/92;09-mai
ABOUKE Hermance;;100m Haies (84) / SEF;Finale 1;3;15''24 (+0.0);895;IR1;SEF/86;09-mai
ABOUKE Hermance;;Longueur / SEF;Finale 1;7;5m32 (+0.5);811;IR2;SEF/86;09-mai
BACON Karine;;800m / SEF;Finale 2;3;2'28''08;709;R1;SEF/79;09-mai
BOCCARA Valerie;;800m / SEF;Finale 1;6;2'33''63;633;R2;SEF/75;09-mai
BOLLEE Elodie;;1 500m / SEF;Finale 1;2;5'05''56;739;R1;SEF/84;09-mai
BONDILANGE Anne-cecile;;Marteau (4 Kg) / SEF;Finale 1;4;44m69;699;IR3;SEF/79;09-mai
COLLIARD Julie;;Perche / SEF;Finale 1;14;2m00;294;D3;SEF/87;09-mai
COLLIARD Julie;;Javelot (600 G) / SEF;Finale 1;12;26m24;419;R6;SEF/87;09-mai
GAGNEUX Valerie;;400m Haies (76) / SEF;Finale 1;2;61''98;996;N3;SEF/84;09-mai
